filename,source_subdir,normalized_schema_iri,injected_subjectOf,detected_profiles,validated_against,schema_errors,target_path,moved,parse_error,framing_error
metadata_10.60707-q4b0-v203.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-q4b0-v203.json,True,,
metadata_10.60707-qx28-w397.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,4,doc-corediscovery\examples\adaMetadata\metadata_10.60707-qx28-w397.json,False,,
metadata_10.60707-r8hy-7y50.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-r8hy-7y50.json,True,,
metadata_10.60707-rd8a-6z91.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-rd8a-6z91.json,True,,
metadata_10.60707-rm08-bg04.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-rm08-bg04.json,True,,
metadata_10.60707-sjkk-h605.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,1,doc-corediscovery\examples\adaMetadata\metadata_10.60707-sjkk-h605.json,False,,
metadata_10.60707-sk9h-2550.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-sk9h-2550.json,True,,
metadata_10.60707-srdv-7b95.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-srdv-7b95.json,True,,
metadata_10.60707-t0gq-7t37.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-t0gq-7t37.json,True,,
metadata_10.60707-twd0-6a40.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-twd0-6a40.json,True,,
metadata_10.60707-v87p-2k76.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-v87p-2k76.json,True,,
