ResultIdentifier,ResultMeasureValue,UOM,Characteristic,CharacteristicURI,ActivityIdentifier,ActivityDateTime,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,Latitude,Longitude,SampleCollectionMethod,ResultSampleFractionText,ResultValueTypeName,ResultCommentText,DepthMeasure,ResultAnalyticalMethod,MethodName,LastUpdated
STORET-928629467,2.6,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-157548.CHEM,2017-02-14T11:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-16595,32.33,-113.02,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T17:08:05
STORET-928607567,0.56,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-86629.CHEM,2006-04-27T01:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-54549,32.4735569,-111.5410761,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,"AZDEQ_GW:SM 4500-NORG,C","SM 4500-NORG,C",2022-01-20T17:04:28
STORET-928607512,0.12,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-86622.CHEM,2006-04-27T12:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-54549,32.4735569,-111.5410761,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T17:04:27
STORET-928563216,0.098,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36954.CHEM,2001-05-10T07:06:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49435,31.7976931,-111.2437814,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:55:21
STORET-928560754,0.2,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36757.CHEM,2000-08-10T02:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49395,31.9526381,-111.2750411,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:48
STORET-928562972,0.096,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36917.CHEM,2001-05-22T11:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49388,32.2999722,-111.2604111,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:55:17
STORET-928563339,0.073,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36961.CHEM,2001-05-10T10:56:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49338,31.7,-111.5729647,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:55:22
STORET-928561351,0.057,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36799.CHEM,2001-05-09T01:41:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49336,31.9256286,-111.5043453,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:56
STORET-928560250,0.12,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36730.CHEM,2001-04-18T03:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49250,31.7554944,-111.5177639,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:41
STORET-928560325,0.2,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36732.CHEM,2001-04-18T03:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49250,31.7554944,-111.5177639,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:42
STORET-928560627,0.29,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36747.CHEM,2001-02-28T03:31:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49173,31.5233475,-111.3825939,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:46
STORET-928561394,0.14,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36803.CHEM,2001-02-28T11:46:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49171,31.5451944,-111.2085144,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:57
STORET-928560811,0.087,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36761.CHEM,2000-08-10T09:10:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48936,32.0079681,-111.4356022,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:49
STORET-928557844,0.24,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36461.CHEM,2000-06-29T12:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48933,32.1539,-110.4542194,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:09
STORET-928558031,0.2,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36471.CHEM,2000-06-29T11:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48923,32.1538719,-110.4542914,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:11
STORET-928558103,0.095,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36474.CHEM,2000-06-29T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48922,32.148165,-110.4788658,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:12
STORET-928555435,0.11,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36279.CHEM,2000-01-12T04:17:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48906,32.3362872,-110.539415,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:53:43
STORET-928557625,5.3,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36413.CHEM,2000-04-20T05:32:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48793,32.4620125,-110.5628433,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,"AZDEQ_GW:SM 4500 N-O, C","SM 4500 N-O, C",2022-01-20T16:54:06
STORET-928557267,0.05,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36394.CHEM,2000-04-20T03:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48792,32.4563175,-110.6404036,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:02
STORET-928557377,0.65,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36402.CHEM,2000-04-19T06:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48791,32.4925406,-110.6981314,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:03
STORET-928630329,15,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-157042.CHEM,2017-01-09T12:45:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-42037,32.0238889,-112.8922222,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,| QA FLAGS: M1.,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T17:08:14
STORET-928559056,0.096,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36536.CHEM,2000-08-09T03:16:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-38256,31.8359731,-111.4131125,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:23
STORET-928558413,0.22,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36496.CHEM,2000-08-09T12:14:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-38081,32.0757636,-111.3278672,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:17
STORET-928628268,0.2,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-151283.CHEM,2016-02-23T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-37184,32.4555556,-112.8308333,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,"AZDEQ_GW:SM 4500-NORG,C","SM 4500-NORG,C",2022-01-20T17:07:51
STORET-928559694,0.072,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-36670.CHEM,2000-08-09T10:17:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-25455,32.17685,-111.1874375,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T16:54:31
STORET-928607746,0.56,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-88212.CHEM,2006-03-15T11:01:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23286,32.4487703,-111.7271492,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,"AZDEQ_GW:SM 4500-NORG,C","SM 4500-NORG,C",2022-01-20T17:04:30
STORET-928630170,0.19,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-157038.CHEM,2017-01-10T02:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-16652,31.8813481,-112.8159492,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,| QA FLAGS: E4.,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T17:08:12
STORET-928630125,0.76,mg/l,Kjeldahl nitrogen,ex:kjeldahlnitrogen,AZDEQ_GW-GW-157037.CHEM,2017-01-09T03:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-16641,31.9444444,-113.0183333,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 351.2,EPA 351.2,2022-01-20T17:08:12
STORET-999758429,703,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40579.CHEM,2022-01-24T05:20:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63522,32.2124667,-110.9693291,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:03
STORET-999758663,1360,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40582.CHEM,2022-01-26T11:15:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63521,32.2126251,-110.9684183,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:04
STORET-999758507,1520,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40580.CHEM,2022-01-26T09:40:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63520,32.2126908,-110.9692678,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:03
STORET-999758585,3540,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40581.CHEM,2022-01-24T02:35:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63519,32.2129478,-110.968316,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,91 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:04
STORET-999758351,242,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40578.CHEM,2022-01-25T09:10:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63518,32.2128914,-110.9690015,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:02
STORET-999758117,3180,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40575.CHEM,2022-01-25T11:00:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63517,32.2122569,-110.9686374,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:00
STORET-999758897,3320,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40589.CHEM,2022-01-27T09:25:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63515,32.2123512,-110.9686384,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:06
STORET-999758039,1210,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40574.CHEM,2022-01-25T02:45:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63514,32.2123633,-110.9687391,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:00
STORET-999758819,2460,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40588.CHEM,2022-01-27T02:00:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63513,32.2124144,-110.9687814,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:06
STORET-999758195,2140,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40576.CHEM,2022-01-25T12:10:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63512,32.2125058,-110.9686392,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:01
STORET-999758974,2600,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40590.CHEM,2022-01-27T12:40:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63511,32.2124761,-110.9687088,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:07
STORET-999758273,961,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40577.CHEM,2022-01-26T02:25:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63510,32.2124908,-110.9688051,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:01
STORET-999757961,1450,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40573.CHEM,2022-01-25T01:40:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63509,32.2124015,-110.9686931,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,89 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:00
STORET-999759052,2950,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40591.CHEM,2022-01-27T10:50:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63508,32.2124622,-110.9686758,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,88 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:07
STORET-999758741,841,ug/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB40583.CHEM,2022-01-26T12:50:00-07:00,2017-LEAKING UNDERGROUND STORAGE TANKS,TERRACON CONSULTANTS WESTERN,AZDEQ_WPD-63506,32.2124359,-110.9687131,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,91 ft,AZDEQ_WPD:9056A,9056A,2024-01-19T08:41:05
STORET-1059586836,1.9,mg/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB51928.CHEM,2023-10-26T10:20:00-07:00,WQARF-100053,Wood Environment & Infratructure Solutions,AZDEQ_WPD-47634,32.2271944,-110.8376042,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,"Sample Purpose: G, GRAB",,AZDEQ_WPD:EPA 300.0,EPA 300.0,2025-04-08T11:25:05
STORET-1059586915,1.9,mg/l,Nitrate,ex:nitrate,AZDEQ_WPD-AB51928.CHEM,2023-10-26T10:20:00-07:00,WQARF-100053,Wood Environment & Infratructure Solutions,AZDEQ_WPD-47634,32.2271944,-110.8376042,ID:Unknown; context:AZDEQ_WPD; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,"Sample Purpose: G, GRAB",,AZDEQ_WPD:300,300,2025-04-08T11:25:05
STORET-928628014,3.6,mg/l,Nitrate,ex:nitrate,AZDEQ_GW-GW-151238.CHEM,2016-02-23T04:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-59217,32.2613889,-112.7425,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,| QA FLAGS: H3.,,AZDEQ_GW:EPA 300/SW846 9056A,EPA 300/SW846 9056A,2022-01-20T17:07:49
STORET-928627866,3.5,mg/l,Nitrate,ex:nitrate,AZDEQ_GW-GW-151237.CHEM,2016-02-23T10:45:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-59216,32.4575,-112.8341667,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,| QA FLAGS: H3.,,AZDEQ_GW:EPA 300/SW846 9056A,EPA 300/SW846 9056A,2022-01-20T17:07:48
STORET-928627940,4,mg/l,Nitrate,ex:nitrate,AZDEQ_GW-GW-151235.CHEM,2016-02-23T02:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-41860,31.9495836,-112.8016317,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,| QA FLAGS: H3.,,AZDEQ_GW:EPA 300/SW846 9056A,EPA 300/SW846 9056A,2022-01-20T17:07:48
STORET-928628162,3.4,mg/l,Nitrate,ex:nitrate,AZDEQ_GW-GW-151242.CHEM,2016-02-23T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-37184,32.4555556,-112.8308333,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,| QA FLAGS: H3.,,AZDEQ_GW:EPA 300/SW846 9056A,EPA 300/SW846 9056A,2022-01-20T17:07:50
STORET-928630296,4.5,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-157041.CHEM,2017-01-10T03:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-59355,31.8814306,-112.814535,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T17:08:14
STORET-928630256,12,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-157040.CHEM,2017-01-10T10:45:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-59354,32.1317192,-113.0848661,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T17:08:13
STORET-928607575,30,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-86629.CHEM,2006-04-27T01:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-54549,32.4735569,-111.5410761,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T17:04:28
STORET-928563228,0.24,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36954.CHEM,2001-05-10T07:06:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49435,31.7976931,-111.2437814,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:21
STORET-928563226,0.24,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36954.CHEM,2001-05-10T07:06:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49435,31.7976931,-111.2437814,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:21
STORET-928563105,1,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36946.CHEM,2001-05-24T10:45:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49397,31.8377044,-111.3179789,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:19
STORET-928563107,1,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36946.CHEM,2001-05-24T10:45:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49397,31.8377044,-111.3179789,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:19
